,x
1,GO:0005737
2,GO:0005634
3,GO:0005829
4,GO:0016021
5,GO:0005524
6,GO:0005654
7,GO:0005886
8,GO:0046872
9,GO:0005739
10,GO:0005576
11,GO:0003723
12,GO:0016020
13,GO:0003677
14,GO:0003735
15,
16,GO:0042802
17,GO:0005509
18,GO:0005730
19,GO:0005874
20,GO:0008270
21,GO:0005615
22,GO:0005789
23,GO:0006412
24,GO:0005743
25,GO:0005783
26,GO:0005794
27,GO:0070062
28,GO:0005929
29,GO:0005856
30,GO:0006508
31,GO:0016887
32,GO:0045202
33,GO:0005764
34,GO:0043231
35,GO:0005525
36,GO:0005759
37,GO:0005887
38,GO:0060271
39,GO:1990904
40,GO:0005930
41,GO:0019899
42,GO:0003682
43,GO:0005813
44,GO:0031514
45,GO:0042803
46,GO:0007283
47,GO:0032991
48,GO:0048471
49,GO:0002181
50,GO:0003964
51,GO:0006357
52,GO:0007018
53,GO:0015031
54,GO:0045944
55,GO:0000139
56,GO:0000785
57,GO:0003341
58,GO:0022625
59,GO:0030317
60,GO:0045893
61,GO:0007165
62,GO:0030154
63,GO:0000978
64,GO:0005840
65,GO:0006468
66,GO:0006915
67,GO:0009986
68,GO:0015074
69,GO:0030424
